Team Name,Short Name,Coach,Color,Player Name,Player Number

Arctic Foxes,ARX,Sarah Chill,#fb5607,Ellis Gonzalez,52
Arctic Foxes,ARX,Sarah Chill,#fb5607,Taylor Anderson,37
Arctic Foxes,ARX,Sarah Chill,#fb5607,Morgan Taylor,35
Arctic Foxes,ARX,Sarah Chill,#fb5607,Ellis Taylor,18
Arctic Foxes,ARX,Sarah Chill,#fb5607,Morgan Anderson,40
Arctic Foxes,ARX,Sarah Chill,#fb5607,Drew Rodriguez,79
Arctic Foxes,ARX,Sarah Chill,#fb5607,Drew Hernandez,22
Arctic Foxes,ARX,Sarah Chill,#fb5607,Jordan Thomas,8
Shadow Realm,SHD,Dante Black,#3a0ca3,Taylor Davis,82
Shadow Realm,SHD,Dante Black,#3a0ca3,Luca Garcia,55
Shadow Realm,SHD,Dante Black,#3a0ca3,Alex Garcia,67
Shadow Realm,SHD,Dante Black,#3a0ca3,Casey Taylor,58
Shadow Realm,SHD,Dante Black,#3a0ca3,Quinn Jackson,81
Shadow Realm,SHD,Dante Black,#3a0ca3,Ollie Jones,29
Shadow Realm,SHD,Dante Black,#3a0ca3,Alex Jackson,83
Shadow Realm,SHD,Dante Black,#3a0ca3,Ollie Jackson,30
Iron Giants,IRN,Tony Stark,#adb5bd,Luca Martin,38
Iron Giants,IRN,Tony Stark,#adb5bd,Blake Smith,93
Iron Giants,IRN,Tony Stark,#adb5bd,Morgan Anderson,9
Iron Giants,IRN,Tony Stark,#adb5bd,Luca Anderson,22
Iron Giants,IRN,Tony Stark,#adb5bd,Finn Brown,74
Iron Giants,IRN,Tony Stark,#adb5bd,Casey Martinez,66
Iron Giants,IRN,Tony Stark,#adb5bd,Quinn Gonzalez,64
Iron Giants,IRN,Tony Stark,#adb5bd,Alex Davis,29
Velvet Vipers,VVP,Sly Cooper,#7209b7,Ellis Johnson,81
Velvet Vipers,VVP,Sly Cooper,#7209b7,Blake Gonzalez,14
Velvet Vipers,VVP,Sly Cooper,#7209b7,Ellis Williams,46
Velvet Vipers,VVP,Sly Cooper,#7209b7,Casey Gonzalez,96
Velvet Vipers,VVP,Sly Cooper,#7209b7,Blake Jackson,32
Velvet Vipers,VVP,Sly Cooper,#7209b7,Morgan Anderson,36
Velvet Vipers,VVP,Sly Cooper,#7209b7,Finn Gonzalez,42
Velvet Vipers,VVP,Sly Cooper,#7209b7,Quinn Moore,86
